country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
TUR,35.87471,36.00238,330.94,0.73,0.76,2025-08-12,930,N,VIIRS,l,2.0NRT,303.85,11.76,D
TUR,35.87708,36.00988,333.05,0.73,0.76,2025-08-12,930,N,VIIRS,l,2.0NRT,304.03,7.93,D
TUR,35.88355,36.00609,331.78,0.73,0.76,2025-08-12,930,N,VIIRS,l,2.0NRT,303.91,9.16,D
TUR,36.81652,37.34745,354.36,0.59,0.7,2025-08-12,930,N,VIIRS,n,2.0NRT,321.2,18.2,D
TUR,36.8176,37.34959,353.97,0.59,0.7,2025-08-12,930,N,VIIRS,n,2.0NRT,321.53,19.81,D
TUR,37.30054,37.13137,344.73,0.59,0.7,2025-08-12,930,N,VIIRS,n,2.0NRT,308.55,9.12,D
TUR,37.3013,37.13636,367,0.59,0.7,2025-08-12,930,N,VIIRS,h,2.0NRT,312.32,17.35,D
TUR,37.30252,37.13785,355.31,0.59,0.7,2025-08-12,930,N,VIIRS,n,2.0NRT,310.74,9.12,D
TUR,37.63143,39.43826,351.28,0.44,0.62,2025-08-12,930,N,VIIRS,n,2.0NRT,322.47,18.48,D
TUR,37.63198,39.43946,347.41,0.44,0.62,2025-08-12,930,N,VIIRS,l,2.0NRT,320.31,4.7,D
TUR,38.62608,34.87597,330.43,0.69,0.75,2025-08-12,930,N,VIIRS,l,2.0NRT,303.93,1.49,D
TUR,38.62736,34.8788,333.78,0.69,0.75,2025-08-12,930,N,VIIRS,l,2.0NRT,304.42,4.15,D
TUR,35.86663,36.02066,336.86,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,304.19,6.05,D
TUR,35.86756,36.01818,341.75,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,304.69,9.92,D
TUR,35.87065,36.01444,342.58,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,308.13,11.68,D
TUR,35.87162,36.01199,347.58,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,308.5,9.92,D
TUR,35.87416,36.00262,343.55,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,308.34,6.19,D
TUR,35.87568,36.00581,335.88,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,309.45,8.17,D
TUR,35.87615,36.0115,336.03,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,309.59,17.33,D
TUR,35.8787,36.00227,339.39,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,311.53,6.35,D
TUR,35.8792,36.00885,367,0.49,0.49,2025-08-12,1110,N,VIIRS,h,2.0NRT,318.23,25.95,D
TUR,35.8797,36.0134,354.55,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,314.03,25.95,D
TUR,35.88017,36.01865,342.81,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,309.66,14.34,D
TUR,35.88021,36.00546,353.23,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,312.21,8.17,D
TUR,35.88068,36.01108,367,0.49,0.49,2025-08-12,1110,N,VIIRS,h,2.0NRT,313.6,17.33,D
TUR,35.88113,36.01643,352.57,0.49,0.49,2025-08-12,1110,N,VIIRS,n,2.0NRT,310.19,17.33,D
TUR,35.88884,35.99939,333.42,0.49,0.49,2025-08-12,1110,N,VIIRS,l,2.0NRT,308.11,5.08,D
TUR,36.65734,35.46556,336.99,0.47,0.48,2025-08-12,1110,N,VIIRS,n,2.0NRT,308.72,2.94,D
TUR,36.86034,34.87043,349.43,0.44,0.46,2025-08-12,1110,N,VIIRS,n,2.0NRT,311.65,9.7,D
TUR,37.09089,40.56166,344,0.45,0.63,2025-08-12,1110,N,VIIRS,l,2.0NRT,315.28,12.61,D
TUR,37.10449,40.53091,347.02,0.45,0.63,2025-08-12,1110,N,VIIRS,l,2.0NRT,317.21,12.53,D
TUR,37.10804,40.52929,355.53,0.45,0.63,2025-08-12,1110,N,VIIRS,n,2.0NRT,319.72,13.12,D
TUR,37.34305,37.18529,344.52,0.59,0.53,2025-08-12,1110,N,VIIRS,n,2.0NRT,315.89,12.46,D
TUR,37.34421,37.1837,344.58,0.59,0.53,2025-08-12,1110,N,VIIRS,n,2.0NRT,316.73,9.2,D
TUR,37.44215,39.26035,367,0.39,0.59,2025-08-12,1110,N,VIIRS,h,2.0NRT,323.7,4.75,D
TUR,37.97622,40.17144,342.38,0.44,0.62,2025-08-12,1110,N,VIIRS,l,2.0NRT,315.32,8.27,D
TUR,38.01134,34.57672,345.19,0.44,0.46,2025-08-12,1110,N,VIIRS,l,2.0NRT,316.39,16.08,D
TUR,38.14691,29.76446,348.85,0.42,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,314.41,7.45,D
TUR,38.16883,37.81109,352.05,0.33,0.55,2025-08-12,1110,N,VIIRS,n,2.0NRT,320.51,11.47,D
TUR,38.16909,37.81508,367,0.33,0.55,2025-08-12,1110,N,VIIRS,h,2.0NRT,331.08,11.47,D
TUR,38.73671,26.94864,344.68,0.38,0.36,2025-08-12,1110,N,VIIRS,n,2.0NRT,313.22,4.36,D
TUR,38.7373,26.93023,342.66,0.38,0.36,2025-08-12,1110,N,VIIRS,l,2.0NRT,312.72,3.79,D
TUR,38.74001,26.94781,341.27,0.38,0.36,2025-08-12,1110,N,VIIRS,l,2.0NRT,311.83,5.25,D
TUR,38.74059,26.9294,336.73,0.38,0.36,2025-08-12,1110,N,VIIRS,l,2.0NRT,311.65,3.79,D
TUR,40.10863,28.27402,336.99,0.4,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,302.7,3.99,D
TUR,41.0363,28.53336,347.61,0.41,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,305.27,4.14,D
TUR,41.03696,28.53825,347.87,0.41,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,308.02,7.67,D
TUR,41.0397,28.53259,338.72,0.41,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,305,2.92,D
TUR,41.04036,28.53748,355.08,0.41,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,308.67,8.19,D
TUR,41.04102,28.54235,336.39,0.41,0.37,2025-08-12,1110,N,VIIRS,n,2.0NRT,306.56,8.19,D
TUR,41.42152,27.27776,354.52,0.39,0.36,2025-08-12,1113,N,VIIRS,n,2.0NRT,324.2,39.86,D
TUR,41.42484,27.27691,367,0.39,0.36,2025-08-12,1113,N,VIIRS,h,2.0NRT,319.8,16.36,D
TUR,41.42816,27.27608,352.34,0.39,0.36,2025-08-12,1113,N,VIIRS,n,2.0NRT,312.02,16.36,D
TUR,41.75541,27.21828,339.74,0.39,0.36,2025-08-12,1113,N,VIIRS,l,2.0NRT,310.7,1.29,D